space,address,words,encoding,scale,name,unit,class,access
input,1012,1,u16,1,block01.pcs.state,enum,fast,ro
input,1013,1,u16,100,block01.soc_pct,%,medium,ro
input,1014,1,i16,10,block01.cell_temp_min_c,degC,medium,ro
input,1015,1,i16,10,block01.cell_temp_max_c,degC,medium,ro
input,1016,1,u16,1,block01.alarm_bits,bitfield,medium,ro
input,1020,1,i16,0.001,block02.pcs.p_ac_kw,kW,fast,ro
input,1021,1,i16,0.001,block02.pcs.p_dc_kw,kW,fast,ro
input,1022,1,u16,1,block02.pcs.state,enum,fast,ro
input,1023,1,u16,100,block02.soc_pct,%,medium,ro
input,1024,1,i16,10,block02.cell_temp_min_c,degC,medium,ro
input,1025,1,i16,10,block02.cell_temp_max_c,degC,medium,ro
input,1026,1,u16,1,block02.alarm_bits,bitfield,medium,ro
input,1030,1,i16,0.001,block03.pcs.p_ac_kw,kW,fast,ro
input,1031,1,i16,0.001,block03.pcs.p_dc_kw,kW,fast,ro
input,1032,1,u16,1,block03.pcs.state,enum,fast,ro
input,1033,1,u16,100,block03.soc_pct,%,medium,ro
input,1034,1,i16,10,block03.cell_temp_min_c,degC,medium,ro
input,1035,1,i16,10,block03.cell_temp_max_c,degC,medium,ro
input,1036,1,u16,1,block03.alarm_bits,bitfield,medium,ro
input,1040,1,i16,0.001,block04.pcs.p_ac_kw,kW,fast,ro
input,1041,1,i16,0.001,block04.pcs.p_dc_kw,kW,fast,ro
input,1042,1,u16,1,block04.pcs.state,enum,fast,ro
input,1043,1,u16,100,block04.soc_pct,%,medium,ro
input,1044,1,i16,10,block04.cell_temp_min_c,degC,medium,ro
input,1045,1,i16,10,block04.cell_temp_max_c,degC,medium,ro
input,1046,1,u16,1,block04.alarm_bits,bitfield,medium,ro
input,1050,1,i16,0.001,block05.pcs.p_ac_kw,kW,fast,ro
input,1051,1,i16,0.001,block05.pcs.p_dc_kw,kW,fast,ro
input,1052,1,u16,1,block05.pcs.state,enum,fast,ro
input,1053,1,u16,100,block05.soc_pct,%,medium,ro
input,1054,1,i16,10,block05.cell_temp_min_c,degC,medium,ro
input,1055,1,i16,10,block05.cell_temp_max_c,degC,medium,ro
input,1056,1,u16,1,block05.alarm_bits,bitfield,medium,ro
input,1060,1,i16,0.001,block06.pcs.p_ac_kw,kW,fast,ro
input,1061,1,i16,0.001,block06.pcs.p_dc_kw,kW,fast,ro
input,1062,1,u16,1,block06.pcs.state,enum,fast,ro
input,1063,1,u16,100,block06.soc_pct,%,medium,ro
input,1064,1,i16,10,block06.cell_temp_min_c,degC,medium,ro
input,1065,1,i16,10,block06.cell_temp_max_c,degC,medium,ro
input,1066,1,u16,1,block06.alarm_bits,bitfield,medium,ro
input,1070,1,i16,0.001,block07.pcs.p_ac_kw,kW,fast,ro
input,1071,1,i16,0.001,block07.pcs.p_dc_kw,kW,fast,ro
input,1072,1,u16,1,block07.pcs.state,enum,fast,ro
input,1073,1,u16,100,block07.soc_pct,%,medium,ro
input,1074,1,i16,10,block07.cell_temp_min_c,degC,medium,ro
input,1075,1,i16,10,block07.cell_temp_max_c,degC,medium,ro
input,1076,1,u16,1,block07.alarm_bits,bitfield,medium,ro
input,1080,1,i16,0.001,block08.pcs.p_ac_kw,kW,fast,ro
input,1081,1,i16,0.001,block08.pcs.p_dc_kw,kW,fast,ro
input,1082,1,u16,1,block08.pcs.state,enum,fast,ro
input,1083,1,u16,100,block08.soc_pct,%,medium,ro
input,1084,1,i16,10,block08.cell_temp_min_c,degC,medium,ro
input,1085,1,i16,10,block08.cell_temp_max_c,degC,medium,ro
input,1086,1,u16,1,block08.alarm_bits,bitfield,medium,ro
input,1090,1,i16,0.001,block09.pcs.p_ac_kw,kW,fast,ro
input,1091,1,i16,0.001,block09.pcs.p_dc_kw,kW,fast,ro
input,1092,1,u16,1,block09.pcs.state,enum,fast,ro
input,1093,1,u16,100,block09.soc_pct,%,medium,ro
input,1094,1,i16,10,block09.cell_temp_min_c,degC,medium,ro
input,1095,1,i16,10,block09.cell_temp_max_c,degC,medium,ro
input,1096,1,u16,1,block09.alarm_bits,bitfield,medium,ro
input,1100,1,i16,0.001,block10.pcs.p_ac_kw,kW,fast,ro
input,1101,1,i16,0.001,block10.pcs.p_dc_kw,kW,fast,ro
input,1102,1,u16,1,block10.pcs.state,enum,fast,ro
input,1103,1,u16,100,block10.soc_pct,%,medium,ro
input,1104,1,i16,10,block10.cell_temp_min_c,degC,medium,ro
input,1105,1,i16,10,block10.cell_temp_max_c,degC,medium,ro
input,1106,1,u16,1,block10.alarm_bits,bitfield,medium,ro
input,1110,1,i16,0.001,block11.pcs.p_ac_kw,kW,fast,ro
input,1111,1,i16,0.001,block11.pcs.p_dc_kw,kW,fast,ro
input,1112,1,u16,1,block11.pcs.state,enum,fast,ro
input,1113,1,u16,100,block11.soc_pct,%,medium,ro
input,1114,1,i16,10,block11.cell_temp_min_c,degC,medium,ro
input,1115,1,i16,10,block11.cell_temp_max_c,degC,medium,ro
input,1116,1,u16,1,block11.alarm_bits,bitfield,medium,ro
input,1120,1,i16,0.001,block12.pcs.p_ac_kw,kW,fast,ro
input,1121,1,i16,0.001,block12.pcs.p_dc_kw,kW,fast,ro
input,1122,1,u16,1,block12.pcs.state,enum,fast,ro
input,1123,1,u16,100,block12.soc_pct,%,medium,ro
input,1124,1,i16,10,block12.cell_temp_min_c,degC,medium,ro
input,1125,1,i16,10,block12.cell_temp_max_c,degC,medium,ro
input,1126,1,u16,1,block12.alarm_bits,bitfield,medium,ro
input,1130,1,i16,0.001,block13.pcs.p_ac_kw,kW,fast,ro
input,1131,1,i16,0.001,block13.pcs.p_dc_kw,kW,fast,ro
input,1132,1,u16,1,block13.pcs.state,enum,fast,ro
input,1133,1,u16,100,block13.soc_pct,%,medium,ro
input,1134,1,i16,10,block13.cell_temp_min_c,degC,medium,ro
input,1135,1,i16,10,block13.cell_temp_max_c,degC,medium,ro
input,1136,1,u16,1,block13.alarm_bits,bitfield,medium,ro
input,1140,1,i16,0.001,block14.pcs.p_ac_kw,kW,fast,ro
input,1141,1,i16,0.001,block14.pcs.p_dc_kw,kW,fast,ro
input,1142,1,u16,1,block14.pcs.state,enum,fast,ro
input,1143,1,u16,100,block14.soc_pct,%,medium,ro
input,1144,1,i16,10,block14.cell_temp_min_c,degC,medium,ro
input,1145,1,i16,10,block14.cell_temp_max_c,degC,medium,ro
input,1146,1,u16,1,block14.alarm_bits,bitfield,medium,ro
input,1150,1,i16,0.001,block15.pcs.p_ac_kw,kW,fast,ro
input,1151,1,i16,0.001,block15.pcs.p_dc_kw,kW,fast,ro
input,1152,1,u16,1,block15.pcs.state,enum,fast,ro
input,1153,1,u16,100,block15.soc_pct,%,medium,ro
input,1154,1,i16,10,block15.cell_temp_min_c,degC,medium,ro
input,1155,1,i16,10,block15.cell_temp_max_c,degC,medium,ro
input,1156,1,u16,1,block15.alarm_bits,bitfield,medium,ro
input,1160,1,i16,0.001,block16.pcs.p_ac_kw,kW,fast,ro
input,1161,1,i16,0.001,block16.pcs.p_dc_kw,kW,fast,ro
input,1162,1,u16,1,block16.pcs.state,enum,fast,ro
input,1163,1,u16,100,block16.soc_pct,%,medium,ro
input,1164,1,i16,10,block16.cell_temp_min_c,degC,medium,ro
input,1165,1,i16,10,block16.cell_temp_max_c,degC,medium,ro
input,1166,1,u16,1,block16.alarm_bits,bitfield,medium,ro
input,1170,1,i16,0.001,block17.pcs.p_ac_kw,kW,fast,ro
input,1171,1,i16,0.001,block17.pcs.p_dc_kw,kW,fast,ro
input,1172,1,u16,1,block17.pcs.state,enum,fast,ro
input,1173,1,u16,100,block17.soc_pct,%,medium,ro
input,1174,1,i16,10,block17.cell_temp_min_c,degC,medium,ro
input,1175,1,i16,10,block17.cell_temp_max_c,degC,medium,ro
input,1176,1,u16,1,block17.alarm_bits,bitfield,medium,ro
input,1180,1,i16,0.001,block18.pcs.p_ac_kw,kW,fast,ro
input,1181,1,i16,0.001,block18.pcs.p_dc_kw,kW,fast,ro
input,1182,1,u16,1,block18.pcs.state,enum,fast,ro
input,1183,1,u16,100,block18.soc_pct,%,medium,ro
input,1184,1,i16,10,block18.cell_temp_min_c,degC,medium,ro
input,1185,1,i16,10,block18.cell_temp_max_c,degC,medium,ro
input,1186,1,u16,1,block18.alarm_bits,bitfield,medium,ro
input,1190,1,i16,0.001,block19.pcs.p_ac_kw,kW,fast,ro
input,1191,1,i16,0.001,block19.pcs.p_dc_kw,kW,fast,ro
input,1192,1,u16,1,block19.pcs.state,enum,fast,ro
input,1193,1,u16,100,block19.soc_pct,%,medium,ro
input,1194,1,i16,10,block19.cell_temp_min_c,degC,medium,ro
input,1195,1,i16,10,block19.cell_temp_max_c,degC,medium,ro
input,1196,1,u16,1,block19.alarm_bits,bitfield,medium,ro
